city,date,temp,feels_like,weather_main,weather_description,freeFlowSpeed,currentSpeed
London,2024-07-11 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-12 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-13 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-14 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-15 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-16 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-17 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-18 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-19 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-20 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-21 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-22 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-23 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-24 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-25 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-26 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-27 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-28 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-29 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-30 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-07-31 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-08-01 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-08-02 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-08-03 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-08-04 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-08-05 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-08-06 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-08-07 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-08-08 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-08-09 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
London,2024-08-10 00:24:51.076844,295.35,295.01,Clear,clear sky,13.0,8.0
New York,2024-07-11 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-12 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-13 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-14 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-15 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-16 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-17 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-18 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-19 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-20 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-21 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-22 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-23 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-24 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-25 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-26 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-27 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-28 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-29 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-30 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-07-31 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-08-01 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-08-02 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-08-03 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-08-04 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-08-05 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-08-06 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-08-07 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-08-08 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-08-09 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
New York,2024-08-10 00:24:51.076844,300.12,303.2,Clouds,overcast clouds,20.0,13.0
Tokyo,2024-07-11 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-12 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-13 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-14 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-15 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-16 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-17 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-18 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-19 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-20 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-21 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-22 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-23 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-24 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-25 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-26 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-27 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-28 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-29 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-30 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-07-31 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-08-01 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-08-02 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-08-03 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-08-04 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-08-05 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-08-06 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-08-07 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-08-08 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-08-09 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Tokyo,2024-08-10 00:24:51.076844,301.05,304.85,Clouds,few clouds,,
Mumbai,2024-07-11 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-12 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-13 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-14 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-15 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-16 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-17 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-18 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-19 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-20 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-21 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-22 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-23 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-24 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-25 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-26 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-27 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-28 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-29 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-30 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-07-31 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-08-01 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-08-02 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-08-03 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-08-04 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-08-05 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-08-06 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-08-07 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-08-08 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-08-09 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Mumbai,2024-08-10 00:24:51.076844,301.15,305.72,Mist,mist,16.0,16.0
Sydney,2024-07-11 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-12 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-13 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-14 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-15 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-16 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-17 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-18 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-19 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-20 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-21 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-22 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-23 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-24 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-25 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-26 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-27 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-28 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-29 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-30 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-07-31 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-08-01 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-08-02 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-08-03 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-08-04 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-08-05 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-08-06 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-08-07 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-08-08 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-08-09 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
Sydney,2024-08-10 00:24:51.076844,283.12,282.26,Clouds,scattered clouds,24.0,24.0
